
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-05-15	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-05-15	10:27:19	0.00		247.92	---	---	---	21.829	---	---	---	1017.30	46.172	21.829	---	---	23.394	---	---	---	270.244	---	---	---	5.520	---	---	---	
2022-05-15	10:27:20	1.00		247.64	---	---	---	21.849	---	---	---	1017.28	46.159	21.849	---	---	23.401	---	---	---	270.241	---	---	---	5.516	---	---	---	
2022-05-15	10:27:21	2.00		247.64	---	---	---	21.850	---	---	---	1017.30	46.146	21.850	---	---	23.401	---	---	---	270.257	---	---	---	5.509	---	---	---	
2022-05-15	10:27:22	3.00		247.59	---	---	---	21.856	---	---	---	1017.30	46.146	21.856	---	---	23.401	---	---	---	270.246	---	---	---	5.520	---	---	---	
2022-05-15	10:27:23	4.00		247.72	---	---	---	21.842	---	---	---	1017.32	46.159	21.842	---	---	23.399	---	---	---	270.275	---	---	---	5.508	---	---	---	
2022-05-15	10:27:24	5.00		247.89	---	---	---	21.841	---	---	---	1017.28	46.172	21.841	---	---	23.391	---	---	---	270.296	---	---	---	5.520	---	---	---	
2022-05-15	10:27:25	6.00		247.88	---	---	---	21.826	---	---	---	1017.27	46.185	21.826	---	---	23.396	---	---	---	270.356	---	---	---	5.516	---	---	---	
2022-05-15	10:27:26	7.00		247.86	---	---	---	21.833	---	---	---	1017.25	46.185	21.833	---	---	23.395	---	---	---	270.325	---	---	---	5.544	---	---	---	
2022-05-15	10:27:27	8.00		247.79	---	---	---	21.835	---	---	---	1017.28	46.195	21.835	---	---	23.398	---	---	---	270.313	---	---	---	5.527	---	---	---	
2022-05-15	10:27:28	9.00		247.92	---	---	---	21.843	---	---	---	1017.28	46.205	21.843	---	---	23.389	---	---	---	270.332	---	---	---	5.523	---	---	---	
2022-05-15	10:27:29	10.00		247.76	---	---	---	21.844	---	---	---	1017.27	46.215	21.844	---	---	23.396	---	---	---	270.310	---	---	---	5.512	---	---	---	
2022-05-15	10:27:30	11.00		247.49	---	---	---	21.857	---	---	---	1017.28	46.215	21.857	---	---	23.405	---	---	---	270.280	---	---	---	5.525	---	---	---	
2022-05-15	10:27:31	12.00		247.52	---	---	---	21.855	---	---	---	1017.30	46.215	21.855	---	---	23.404	---	---	---	270.290	---	---	---	5.527	---	---	---	
2022-05-15	10:27:32	13.00		247.59	---	---	---	21.855	---	---	---	1017.30	46.215	21.855	---	---	23.401	---	---	---	270.334	---	---	---	5.522	---	---	---	
2022-05-15	10:27:33	14.00		247.72	---	---	---	21.840	---	---	---	1017.28	46.215	21.840	---	---	23.400	---	---	---	270.381	---	---	---	5.536	---	---	---	
2022-05-15	10:27:34	15.00		247.76	---	---	---	21.841	---	---	---	1017.28	46.215	21.841	---	---	23.398	---	---	---	270.354	---	---	---	5.533	---	---	---	
2022-05-15	10:27:35	16.00		247.79	---	---	---	21.834	---	---	---	1017.32	46.215	21.834	---	---	23.398	---	---	---	270.357	---	---	---	5.537	---	---	---	
2022-05-15	10:27:36	17.00		247.56	---	---	---	21.850	---	---	---	1017.33	46.215	21.850	---	---	23.404	---	---	---	270.359	---	---	---	5.531	---	---	---	
2022-05-15	10:27:37	18.00		247.34	---	---	---	21.865	---	---	---	1017.33	46.215	21.865	---	---	23.410	---	---	---	270.350	---	---	---	5.525	---	---	---	
2022-05-15	10:27:38	19.00		247.32	---	---	---	21.872	---	---	---	1017.32	46.215	21.872	---	---	23.409	---	---	---	270.371	---	---	---	5.529	---	---	---	
2022-05-15	10:27:39	20.00		247.32	---	---	---	21.864	---	---	---	1017.34	46.215	21.864	---	---	23.411	---	---	---	270.373	---	---	---	5.525	---	---	---	
