
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-05-11	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-05-11	16:34:02	0.00		273.61	---	---	---	22.445	---	---	---	1023.88	45.116	22.445	---	---	22.043	---	---	---	230.637	---	---	---	5.511	---	---	---	
2022-05-11	16:34:03	1.00		273.42	---	---	---	22.437	---	---	---	1023.88	45.116	22.437	---	---	22.053	---	---	---	230.609	---	---	---	5.506	---	---	---	
2022-05-11	16:34:04	2.00		273.46	---	---	---	22.430	---	---	---	1023.88	45.116	22.430	---	---	22.054	---	---	---	230.580	---	---	---	5.489	---	---	---	
2022-05-11	16:34:05	3.00		273.30	---	---	---	22.430	---	---	---	1023.91	45.116	22.430	---	---	22.061	---	---	---	230.514	---	---	---	5.498	---	---	---	
2022-05-11	16:34:06	4.00		273.27	---	---	---	22.423	---	---	---	1023.92	45.116	22.423	---	---	22.064	---	---	---	230.505	---	---	---	5.510	---	---	---	
2022-05-11	16:34:07	5.00		273.15	---	---	---	22.444	---	---	---	1023.92	45.116	22.444	---	---	22.063	---	---	---	230.509	---	---	---	5.502	---	---	---	
2022-05-11	16:34:08	6.00		273.06	---	---	---	22.450	---	---	---	1023.90	45.116	22.450	---	---	22.065	---	---	---	230.561	---	---	---	5.501	---	---	---	
2022-05-11	16:34:09	7.00		273.29	---	---	---	22.451	---	---	---	1023.87	45.116	22.451	---	---	22.054	---	---	---	230.541	---	---	---	5.497	---	---	---	
2022-05-11	16:34:10	8.00		273.54	---	---	---	22.422	---	---	---	1023.86	45.116	22.422	---	---	22.053	---	---	---	230.580	---	---	---	5.512	---	---	---	
2022-05-11	16:34:11	9.00		273.85	---	---	---	22.423	---	---	---	1023.88	45.116	22.423	---	---	22.039	---	---	---	230.596	---	---	---	5.516	---	---	---	
2022-05-11	16:34:12	10.00		273.85	---	---	---	22.422	---	---	---	1023.89	45.116	22.422	---	---	22.039	---	---	---	230.625	---	---	---	5.521	---	---	---	
2022-05-11	16:34:13	11.00		273.50	---	---	---	22.430	---	---	---	1023.89	45.116	22.430	---	---	22.052	---	---	---	230.622	---	---	---	5.512	---	---	---	
2022-05-11	16:34:14	12.00		273.04	---	---	---	22.459	---	---	---	1023.89	45.116	22.459	---	---	22.063	---	---	---	230.626	---	---	---	5.502	---	---	---	
2022-05-11	16:34:15	13.00		272.90	---	---	---	22.459	---	---	---	1023.95	45.116	22.459	---	---	22.069	---	---	---	230.656	---	---	---	5.503	---	---	---	
2022-05-11	16:34:16	14.00		272.84	---	---	---	22.458	---	---	---	1024.08	45.116	22.458	---	---	22.072	---	---	---	230.666	---	---	---	5.509	---	---	---	
2022-05-11	16:34:17	15.00		272.67	---	---	---	22.452	---	---	---	1024.15	45.116	22.452	---	---	22.081	---	---	---	230.679	---	---	---	5.520	---	---	---	
2022-05-11	16:34:18	16.00		272.65	---	---	---	22.459	---	---	---	1024.16	45.116	22.459	---	---	22.079	---	---	---	230.692	---	---	---	5.503	---	---	---	
2022-05-11	16:34:19	17.00		272.66	---	---	---	22.466	---	---	---	1024.13	45.116	22.466	---	---	22.076	---	---	---	230.716	---	---	---	5.506	---	---	---	
