Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:46:26,    1637264786483, -605.05,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.318,   420.180,    602.960,    182.780,  0.3031,  0.4350,   330.27,  0.0000,     0.000,   22.651,  0.000,     9302,  0.000,     9302,  0.000,1328881804131225, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.322,    14.78,    34.31,  0.835,       2.86,    0.000,    600.00,  299.15,   0.128,     0.0,     0.0,     0.0,     0.0,58667688143182,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:46:29,    1637264789728, -605.00,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.383,   443.770,    593.850,    150.080,  0.2527,  0.3382,   380.13,  0.0000,     0.000,   48.408,  0.000,     6410,  0.000,     6410,  0.000,    11863, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.288,    44.91,   102.74,  0.828,       2.91,    0.000,    600.00,  186.46,   0.233,     0.0,     0.0,     0.0,     0.0,     245,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:49:31,    1637264971569, -594.21,     0.0000,      0.0000,  NO DATA,    '10000,    30.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.619,   509.770,    599.000,     89.230,  0.1490,  0.1750,   469.23,  0.0000,     0.000,   50.000,  0.000,     3792,  0.000,     3792,  0.000,    11688, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.824,    61.02,   172.34,  0.823,       2.64,    0.000,    600.00,  125.74,   0.033,     0.0,     0.0,     0.0,     0.0,     234,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:49:34,    1637264974371, -603.60,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.031,   445.590,    582.770,    137.180,  0.2354,  0.3079,   424.06,  0.0000,     0.000,   33.227,  0.000,     4380,  0.000,     4380,  0.000,     7371, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.553,    58.65,   149.72,  0.910,       2.21,    0.000,    600.00,  212.15,   0.046,     0.0,     0.0,     0.0,     0.0,     222,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:52:36,    1637265156126, -581.77,     0.0000,      0.0000,  NO DATA,    '10000,    60.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.643,   530.870,    589.530,     58.660,  0.0995,  0.1105,   394.61,  0.0000,     0.000,   50.000,  0.000,     4844,  0.000,    16664,  0.000,     7371, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.375,    81.35,   193.24,  0.878,       2.67,    0.000,    600.00,   71.01,   0.010,     0.0,     0.0,     0.0,     0.0,     333,    1.5000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:52:38,    1637265158772, -604.18,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.441,   437.420,    569.520,    132.100,  0.2319,  0.3020,   414.69,  0.0000,     0.000,    4.599,  0.000,     3240,  0.000,     3240,  0.000,     5628, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.497,    73.21,   182.80,  0.935,       2.09,    0.000,    600.00,  166.10,   0.098,     0.0,     0.0,     0.0,     0.0,    1224,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:55:40,    1637265340578, -559.69,     0.0000,      0.0000,  NO DATA,    '10000,   120.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.974,   534.290,    566.820,     32.530,  0.0574,  0.0609,   202.99,  0.0000,     0.000,    0.344,  0.000,      236,  0.000,     1339,  0.000,     5628, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.222,   198.17,   242.25,  0.923,       3.67,    0.000,    600.00,   32.96,   0.010,     0.0,     0.0,     0.0,     0.0,    3892,    1.5000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:55:44,    1637265343904, -603.80,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.457,   430.460,    553.480,    123.020,  0.2223,  0.2858,   411.55,  0.0000,     0.000,    3.746,  0.000,     2642,  0.000,     2642,  0.000,     5685, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.478,    85.49,   211.83,  0.920,       2.08,    0.000,    600.00,  192.26,   0.145,     0.0,     0.0,     0.0,     0.0,    1518,    2.0000,
C:\LIFT\DATA\PICO_202111181541_SaAr1093_caloxy_445_data.csv                                                                    ,2021/11/18, 15:58:45,    1637265525602, -531.82,     0.0000,      0.0000,  NO DATA,    '10000,   180.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.133,   533.140,    551.980,     18.840,  0.0341,  0.0353,   109.97,  0.0000,     0.000,   50.000,  0.000,     5619,  0.000,     5619,  0.000,     5685, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.662,   263.52,   174.50,  1.498,       3.98,    0.000,    600.00,   11.04,   0.010,     0.0,     0.0,     0.0,     0.0,     112,    1.5000,
