Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 13:55:05,    1637171705328, -621.63,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.293,   748.730,   1884.540,   1135.810,  0.6027,  1.5170,   439.50,  0.0000,     0.000,    5.740,  0.000,     1135,  0.000,     1259,  0.000,    15315, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.646,    94.07,   248.93,  0.966,       3.96,    0.000,    600.00,  442.71,   0.417,     0.0,     0.0,     0.0,     0.0,    2668,    1.3620,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 13:55:08,    1637171708323, -619.11,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.290,   808.260,   1800.970,    992.710,  0.5512,  1.2282,   487.75,  0.0340,     0.000,    2.571,  0.000,     2261,  0.000,     2261,  0.000,    12948, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.979,    56.90,   169.52,  0.830,       4.18,    0.000,    600.00,  451.05,   0.000,     0.0,     0.0,     0.0,     0.0,    5036,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 13:58:10,    1637171890185, -603.43,     0.0000,      0.0000,  NO DATA,    '10000,    20.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.282,  1070.280,   1828.590,    758.310,  0.4147,  0.7085,   554.61,  0.0000,     0.000,    3.910,  0.000,     2447,  0.000,     2447,  0.000,    38943, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.336,    34.69,   115.71,  0.828,       4.22,    0.000,    600.00,  303.36,   0.000,     0.0,     0.0,     0.0,     0.0,    9960,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 13:58:13,    1637171893399, -621.24,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.568,   787.210,   1694.510,    907.300,  0.5354,  1.1526,   564.62,  0.0700,     0.000,    7.608,  0.000,     2224,  0.000,     2224,  0.000,    24244, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.501,    58.15,   203.60,  0.879,       3.84,    0.000,    600.00,  411.79,   0.000,     0.0,     0.0,     0.0,     0.0,    3187,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 14:01:15,    1637172075367, -566.20,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,     21.190,  1513.220,   2027.170,    513.950,  0.2535,  0.3396,   487.56,  0.0000,     0.000,    2.079,  0.000,     3510,  0.000,     3510,  0.000,    23122, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.933,    31.52,    92.44,  0.612,       4.57,    0.000,    600.00,  169.36,   0.000,     0.0,     0.0,     0.0,     0.0,   11122,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 14:01:18,    1637172078327, -620.57,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.889,   780.650,   1710.780,    930.130,  0.5437,  1.1915,   532.39,  0.0000,     0.000,    8.448,  0.000,     2072,  0.000,     2072,  0.000,    25372, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.204,    67.75,   217.07,  0.904,       3.86,    0.000,    600.00,  448.75,   0.123,     0.0,     0.0,     0.0,     0.0,    3003,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 14:04:20,    1637172260365, -497.25,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.248,  1860.860,   2150.230,    289.370,  0.1346,  0.1555,   421.00,  0.0000,     0.000,    2.694,  0.000,     3812,  0.000,     3812,  0.000,    19019, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.533,    42.71,   108.20,  0.708,       3.70,    0.000,    600.00,   88.86,   0.000,     0.0,     0.0,     0.0,     0.0,    7060,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 14:04:23,    1637172263280, -622.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.383,   785.810,   1715.440,    929.630,  0.5419,  1.1830,   516.49,  0.0000,     0.000,    8.119,  0.000,     1919,  0.000,     1919,  0.000,    22537, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.109,    75.44,   234.51,  0.887,       4.22,    0.000,    600.00,  398.41,   0.245,     0.0,     0.0,     0.0,     0.0,    2776,    2.0000,
C:\LIFT\DATA\PICO_202111171351_SaAr1090_caloxy_data.csv                                                                        ,2021/11/17, 14:07:25,    1637172445200, -369.91,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.518,  1954.870,   2061.920,    107.050,  0.0519,  0.0548,   208.73,  0.0000,     0.000,    0.200,  0.000,      346,  0.000,      989,  0.000,    22537, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.257,   150.37,   189.02,  1.048,       3.72,    0.000,    600.00,   25.36,   0.010,     0.0,     0.0,     0.0,     0.0,    4945,    1.5000,
